"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.114732861E0,4.886896908E-2,7.496792823E-2,-7.456845790E-2
2.124697965E0,-1.545963883E-1,4.514054582E-2,-1.150484756E-1
2.134667340E0,-2.889527567E-2,7.496792823E-2,-1.778990328E-1
2.144605413E0,3.395527974E-2,9.094688296E-2,-2.130527347E-1
2.154571559E0,-1.237037405E-1,4.407528415E-2,-2.545980215E-1
2.164540621E0,-1.279647946E-1,-3.861580743E-3,-2.950780392E-1
2.174507132E0,-1.844237745E-1,-5.486107618E-2,-3.290333152E-1
2.184462965E0,1.351553202E-1,-1.984053478E-2,-4.099933505E-1
2.194428382E0,2.308958918E-1,9.986846708E-3,-5.197154880E-1
2.204425621E0,-2.163816839E-1,-4.753739014E-2,-6.315681934E-1
2.214394267E0,4.247738793E-2,-2.197106183E-2,-7.210503221E-1
2.224349788E0,4.822981060E-1,1.424790081E-2,-7.476819158E-1
2.234317080E0,5.952160433E-2,-8.575372398E-2,-7.892271876E-1
2.244281767E0,-3.528685868E-2,-1.336905807E-1,-8.552735448E-1
2.254248798E0,3.225085735E-1,-1.027979404E-1,-8.647277355E-1
2.264206350E0,1.371526904E-2,-1.667137593E-1,-8.732498884E-1
2.274172392E0,2.681801319E-1,-1.198421568E-1,-8.753803968E-1
2.284157705E0,5.376918316E-1,-7.084003091E-2,-8.520777822E-1
2.294125673E0,8.082687855E-2,-1.560611278E-1,-8.796414733E-1
2.304089996E0,-1.185105834E-2,-2.348906398E-1,-9.052077532E-1
2.314057600E0,2.447443157E-1,-2.327601016E-1,-9.254477620E-1
2.324019632E0,7.443529367E-2,-2.593916953E-1,-9.637972713E-1
2.333986663E0,3.182475269E-2,-2.764359117E-1,-9.627320170E-1
2.343927548E0,1.042626798E-1,-2.711096108E-1,-9.542099237E-1
2.353891923E0,-9.387636185E-2,-3.222422600E-1,-9.648625255E-1
2.363883069E0,1.265000552E-2,-3.499391079E-1,-9.627320170E-1
2.373850152E0,1.266332120E-1,-3.435475230E-1,-9.723193645E-1
2.383830309E0,3.075948730E-2,-3.392864764E-1,-1.014929891E0
2.393798746E0,1.265000552E-2,-3.350254297E-1,-1.040496230E0
2.403763902E0,-1.611211337E-2,-3.478085697E-1,-1.024517298E0
2.413731923E0,-5.020054802E-2,-3.499391079E-1,-9.968204498E-1
2.423697496E0,1.735048145E-1,-2.924148738E-1,-9.510141015E-1
2.433665309E0,9.454214945E-3,-3.169159293E-1,-9.073383212E-1
2.443631715E0,-3.315633163E-2,-3.158506751E-1,-8.625972271E-1
2.453599371E0,5.099949613E-2,-2.764359117E-1,-8.456861973E-1
2.463597132E0,-5.552686751E-2,-2.796317041E-1,-8.615319729E-1
2.473567809E0,-3.848264739E-2,-2.977411747E-1,-8.243808746E-1
2.483585621E0,-4.807002097E-2,-3.414169848E-1,-7.093324065E-1
2.493561090E0,9.321057005E-4,-3.296990991E-1,-6.251766086E-1
2.503458277E0,2.830938101E-1,-2.210422009E-1,-6.155892015E-1
2.513425777E0,-1.205079481E-1,-2.487390637E-1,-6.560692191E-1
2.523389423E0,-6.191844866E-2,-2.466085255E-1,-6.603302956E-1
2.533356559E0,8.189214021E-2,-2.689790726E-1,-6.113281846E-1
2.543311663E0,1.691105962E-2,-3.115896285E-1,-5.665870905E-1
2.553277548E0,2.202432603E-1,-2.775011659E-1,-5.186502337E-1
2.563232861E0,7.550056279E-2,-3.083938360E-1,-4.973449707E-1
2.573197705E0,-1.482048035E-1,-3.254380524E-1,-5.197154880E-1
2.583194007E0,-5.552686751E-2,-2.679138184E-1,-5.367597342E-1
2.593161975E0,3.062632866E-3,-2.061285079E-1,-5.367597342E-1
2.603136402E0,7.869634777E-2,-1.848232448E-1,-4.515386224E-1
2.613105048E0,-8.535424620E-2,-2.434127480E-1,-3.386206925E-1
2.623055100E0,-8.855003864E-2,-2.572611570E-1,-2.599243224E-1
2.633021871E0,-1.077247858E-1,-2.487390637E-1,-1.992042959E-1
2.642993434E0,7.443529367E-2,-1.858884990E-1,-1.512674391E-1
2.652960673E0,-5.126581341E-2,-2.071937770E-1,-5.432844535E-2
2.662929007E0,-7.576687634E-2,-2.071937770E-1,5.645897239E-2
2.672896350E0,-8.535424620E-2,-1.997369379E-1,1.427453309E-1
2.682861663E0,-6.191844866E-2,-1.912148297E-1,2.438122183E-1
2.692828798E0,8.189214021E-2,-1.581916511E-1,3.396859467E-1
2.702796871E0,1.904158667E-2,-1.358211190E-1,4.110586047E-1
2.712764111E0,3.395527974E-2,-1.230379492E-1,5.388902426E-1
2.722737496E0,4.141212255E-2,-1.294295341E-1,6.997450590E-1
2.732705309E0,8.402267098E-2,-1.219726875E-1,7.635276914E-1
2.742667444E0,4.993423447E-2,-1.134505793E-1,8.040077090E-1
2.752634684E0,-1.844237745E-1,-1.283642650E-1,8.008119464E-1
2.762602809E0,1.213068962E-1,-6.977476925E-2,8.103992939E-1
2.772570100E0,-1.034637317E-1,-1.379516423E-1,8.263782859E-1
2.782536767E0,-5.339634046E-2,-1.816274524E-1,8.199867010E-1
2.792504007E0,-9.707214683E-2,-2.199769467E-1,7.635276914E-1
2.802448955E0,1.458079666E-1,-1.677790284E-1,5.591302514E-1
2.812413902E0,9.147951752E-2,-1.763011366E-1,3.098585606E-1
2.822386715E0,-1.854890287E-1,-1.720400751E-1,7.030740380E-2
2.832352496E0,8.189214021E-2,-1.049284711E-1,-1.789642870E-1
2.842324267E0,2.000032514E-1,-7.829687744E-2,-3.929491341E-1
2.852290621E0,1.202416345E-1,-8.788424730E-2,-5.910881758E-1
2.862257913E0,7.976161689E-2,-1.209074259E-1,-6.976145506E-1
2.872224319E0,1.051947847E-2,-1.794969290E-1,-7.540735006E-1
2.882182600E0,1.703090221E-1,-1.794969290E-1,-8.297072053E-1
